,date,open,high,low,close,adj_close,volume,month,est_N1
1008,2019-04-01,52.27,53.049999,52.02,52.41,51.659359,6312900,4,51.166522999999884
1009,2019-04-02,53.169998,53.43,52.150002,52.709998999999996,51.955063,4412800,4,51.659358999999895
1010,2019-04-03,52.950001,53.52,52.82,52.889998999999996,52.132488,3098300,4,51.9550629999999
1011,2019-04-04,53.25,53.299999,52.209998999999996,53.18,52.418335,2799500,4,52.1324879999999
1012,2019-04-05,53.25,53.73,53.060001,53.25,52.487331000000005,2531800,4,52.41833499999989
1013,2019-04-08,52.259997999999996,52.5,51.669998,51.939999,51.196095,7001700,4,52.4873309999999
1014,2019-04-09,51.630001,52.080002,51.380001,51.889998999999996,51.146809000000005,3380600,4,51.19609499999989
1015,2019-04-10,52.57,52.759997999999996,51.720001,52.619999,51.866356,3910700,4,51.14680899999989
1016,2019-04-11,52.75,53.509997999999996,52.689999,53.0,52.240913,3287100,4,51.8663559999999
1017,2019-04-12,53.27,53.639998999999996,52.709998999999996,53.130001,52.369053,2738400,4,52.240912999999885
1018,2019-04-15,53.060001,53.060001,52.279999,52.290001000000004,51.541084000000005,2524600,4,52.36905299999989
1019,2019-04-16,52.259997999999996,52.970001,51.98,52.779999,52.024059,2941000,4,51.54108399999989
1020,2019-04-17,53.389998999999996,53.630001,52.470001,52.759997999999996,52.004349,2571000,4,52.02405899999989
1021,2019-04-18,52.66,52.77,51.900002,52.18,51.432659,3342100,4,52.004348999999884
1022,2019-04-22,51.860001000000004,52.07,51.459998999999996,51.709998999999996,50.969387,2971500,4,51.43265899999988
1023,2019-04-23,51.779999,52.919998,51.560001,52.790001000000004,52.03392,3600000,4,50.96938699999987
1024,2019-04-24,52.91,53.040001000000004,52.389998999999996,52.93,52.171913,4074200,4,52.03391999999987
1025,2019-04-25,53.119999,54.860001000000004,52.639998999999996,53.349998,52.585896,7115900,4,52.17191299999987
1026,2019-04-26,53.25,53.549999,52.939999,52.98,52.221199,3939400,4,52.58589599999986
1027,2019-04-29,52.990002000000004,54.07,52.740002000000004,53.830002,53.059025,4029400,4,52.221198999999864
1028,2019-04-30,53.93,54.560001,53.52,54.23,53.453297,3861000,4,53.05902499999986
1029,2019-05-01,54.599998,54.610001000000004,53.860001000000004,53.900002,53.128021,2514200,5,53.45329699999987
1030,2019-05-02,53.990002000000004,54.490002000000004,53.360001000000004,53.369999,52.60561,2903900,5,53.12802099999987
1031,2019-05-03,53.52,53.93,53.290001000000004,53.619999,52.852031999999994,2502100,5,52.605609999999864
1032,2019-05-06,52.810001,53.610001000000004,52.720001,53.48,52.714034999999996,2307600,5,52.85203199999985
1033,2019-05-07,53.040001000000004,53.119999,51.450001,52.209998999999996,51.462227,4893900,5,52.71403499999985
1034,2019-05-08,51.889998999999996,52.889998999999996,51.610001000000004,52.41,51.659359,3464800,5,51.46222699999986
1035,2019-05-09,51.900002,52.52,51.799999,52.459998999999996,51.708645000000004,2749100,5,51.65935899999987
1036,2019-05-10,52.150002,52.880001,51.18,52.740002000000004,51.984638000000004,2564700,5,51.70864499999987
1037,2019-05-13,51.77,51.84,50.779999,51.040001000000004,50.308983000000005,3285700,5,51.98463799999986
1038,2019-05-14,51.119999,51.939999,50.900002,51.650002,50.910247999999996,2616100,5,50.308982999999856
1039,2019-05-15,51.009997999999996,52.439999,50.709998999999996,52.009997999999996,51.265087,3086600,5,50.91024799999985
1040,2019-05-16,52.169998,53.009997999999996,52.0,52.59,51.836784,3176100,5,51.26508699999985
1041,2019-05-17,52.060001,52.98,51.950001,52.240002000000004,51.491797999999996,2173200,5,51.836783999999845
1042,2019-05-20,51.779999,52.509997999999996,51.73,52.009997999999996,51.265087,2658200,5,51.49179799999984
1043,2019-05-21,52.549999,53.439999,52.400002,53.369999,52.60561,3471400,5,51.265086999999845
1044,2019-05-22,53.240002000000004,53.52,52.52,52.57,51.817074,3192000,5,52.605609999999835
1045,2019-05-23,52.049999,52.049999,50.360001000000004,50.959998999999996,50.230125,5438200,5,51.817073999999835
1046,2019-05-24,51.110001000000004,51.560001,50.880001,51.150002,50.417408,2311900,5,50.23012499999984
1047,2019-05-28,50.73,50.93,49.990002000000004,50.029999,49.31345,3446600,5,50.41740799999984
1048,2019-05-29,50.150002,50.150002,49.110001000000004,49.560001,48.850182000000004,3703100,5,49.31344999999984
1049,2019-05-30,49.57,49.889998999999996,49.060001,49.389998999999996,48.682613,2792300,5,48.85018199999983
1050,2019-05-31,48.91,49.009997999999996,47.439999,47.599998,46.918255,5193900,5,48.68261299999983
1051,2019-06-03,47.599998,48.349998,47.400002,47.790001000000004,47.105534000000006,5231200,6,46.91825499999983
1052,2019-06-04,48.240002000000004,49.220001,48.169998,48.950001,48.431335,6212700,6,47.105533999999835
1053,2019-06-05,49.59,50.290001000000004,49.400002,50.220001,49.687878000000005,4456100,6,48.43133499999982
1054,2019-06-06,50.25,50.5,49.540001000000004,49.98,49.45042,2385900,6,49.687877999999834
1055,2019-06-07,50.16,50.959998999999996,50.080002,50.369999,49.836285,2032300,6,49.45041999999983
