,est,date
1005,77.46082508445176,2019-03-27
1006,78.3588279676476,2019-03-28
1007,78.64965414231051,2019-03-29
1008,79.6140118296896,2019-04-01
1009,80.81612204493587,2019-04-02
1010,82.59530101392592,2019-04-03
1011,84.15545381794573,2019-04-04
1012,84.67904420934062,2019-04-05
1013,84.90724356947916,2019-04-08
1014,84.63168768609799,2019-04-09
1015,84.2671324028969,2019-04-10
1016,84.48176517209862,2019-04-11
1017,85.59561700089603,2019-04-12
1018,85.56889770766449,2019-04-15
1019,84.6360768840983,2019-04-16
1020,85.07746556267992,2019-04-17
1021,88.70575234092014,2019-04-18
1022,88.54605252649519,2019-04-22
1023,87.57855670056259,2019-04-23
1024,87.90897490281452,2019-04-24
1025,88.04710137404014,2019-04-25
1026,87.03554176595136,2019-04-26
1027,87.7841441997155,2019-04-29
1028,89.4673969797921,2019-04-30
1029,88.98921356477392,2019-05-01
1030,88.002193383686,2019-05-02
1031,88.2431445476072,2019-05-03
1032,88.50201701258193,2019-05-06
1033,87.90660815960285,2019-05-07
1034,85.91802208056856,2019-05-08
1035,84.61638997203606,2019-05-09
1036,84.10918440354057,2019-05-10
1037,84.6847529465153,2019-05-13
1038,82.51403443391004,2019-05-14
1039,83.23366794087927,2019-05-15
1040,82.50905036412077,2019-05-16
1041,82.50984779451039,2019-05-17
1042,81.67441625790727,2019-05-20
1043,81.67052095321942,2019-05-21
1044,82.81272478205555,2019-05-22
1045,82.03919367871114,2019-05-23
1046,80.95066576953923,2019-05-24
1047,80.74579094414524,2019-05-28
1048,80.01830803563526,2019-05-29
1049,79.26501475937411,2019-05-30
1050,79.4248826170299,2019-05-31
1051,77.93301505991693,2019-06-03
1052,77.61844526930759,2019-06-04
1053,80.11748338905241,2019-06-05
1054,81.87741370186825,2019-06-06
1055,82.91483360120564,2019-06-07
1056,83.30333481952542,2019-06-10
1057,82.77055399921268,2019-06-11
1058,82.73282168066929,2019-06-12
1059,83.65016439438186,2019-06-13
1060,86.72145839794065,2019-06-14
1061,87.29313036418957,2019-06-17
1062,86.82183741017508,2019-06-18
1063,87.29533618732864,2019-06-19
1064,88.5356238555564,2019-06-20
1065,87.37733578057512,2019-06-21
1066,86.66971144475409,2019-06-24
1067,86.54134550807912,2019-06-25
1068,85.26107355718918,2019-06-26
1069,85.23674452107454,2019-06-27
1070,86.29469406614153,2019-06-28
1071,87.48585958042702,2019-07-01
1072,88.4164544784623,2019-07-02
1073,88.87964671021311,2019-07-03
1074,90.44647830107186,2019-07-05
1075,90.6892074193709,2019-07-08
1076,90.6582372658399,2019-07-09
1077,89.64301989823494,2019-07-10
1078,89.4422985035185,2019-07-11
1079,89.48451238129842,2019-07-12
1080,90.97202337232714,2019-07-15
1081,91.4055310428029,2019-07-16
1082,93.54846209775235,2019-07-17
1083,94.84508119553404,2019-07-18
1084,95.27790818145087,2019-07-19
1085,94.07202518577567,2019-07-22
1086,93.75220451258575,2019-07-23
1087,94.76945888164798,2019-07-24
1088,95.15433033212156,2019-07-25
1089,94.11613293216104,2019-07-26
1090,93.34551953200143,2019-07-29
1091,93.4053495358584,2019-07-30
1092,93.86584764133988,2019-07-31
1093,92.23939088307772,2019-08-01
1094,90.51721698752763,2019-08-02
1095,89.45682263990264,2019-08-05
1096,86.04644626525703,2019-08-06
1097,85.26175452881301,2019-08-07
1098,86.32082903636486,2019-08-08
1099,87.55532564644703,2019-08-09
1100,87.07978693367039,2019-08-12
1101,84.97748133201154,2019-08-13
1102,84.4474740671559,2019-08-14
1103,82.31632470426808,2019-08-15
1104,81.50156287853284,2019-08-16
1105,82.7244377609847,2019-08-19
1106,83.86453202444444,2019-08-20
1107,84.06954672257386,2019-08-21
1108,85.11880397116,2019-08-22
1109,85.60532753806213,2019-08-23
1110,82.99386941269236,2019-08-26
1111,83.36851407236908,2019-08-27
1112,82.20933949069637,2019-08-28
1113,82.33823824157308,2019-08-29
1114,84.41061681208846,2019-08-30
1115,84.44895440690249,2019-09-03
1116,83.28189051299128,2019-09-04
1117,83.80137830761737,2019-09-05
1118,85.63017175575271,2019-09-06
1119,86.36528731469303,2019-09-09
1120,87.22318109976439,2019-09-10
1121,87.59623084642963,2019-09-11
1122,88.28191164124958,2019-09-12
1123,89.30952890379287,2019-09-13
1124,91.15692164734854,2019-09-16
1125,89.17236290611295,2019-09-17
1126,89.78081448618751,2019-09-18
1127,90.2748941409957,2019-09-19
1128,89.55432880868692,2019-09-20
1129,89.07352085545723,2019-09-23
1130,88.30588602103789,2019-09-24
1131,88.24805664760954,2019-09-25
1132,89.05116701012659,2019-09-26
1133,88.55434098437517,2019-09-27
1134,88.12709525309033,2019-09-30
1135,88.3714565096601,2019-10-01
1136,87.93580406932391,2019-10-02
1137,84.24063089971385,2019-10-03
1138,83.0741787001819,2019-10-04
1139,84.118982272962,2019-10-07
1140,84.85139074381904,2019-10-08
